country,country_name,type,level,year,amount,difference
DK,Denmark,Total net production,Total,2018,28939.089,-5224.343
EE,Estonia,Energy supplied,Total,2016,8387,2037
EE,Estonia,Total net production,Total,2016,10424,2037
EE,Estonia,Energy supplied,Total,2017,8500,2734
EE,Estonia,Total net production,Total,2017,11234,2734
EE,Estonia,Energy supplied,Total,2018,8937.443,1896.7
EE,Estonia,Total net production,Total,2018,10834.143,1896.7
EL,Greece,Energy supplied,Total,2016,58991,-8764
EL,Greece,Total net production,Total,2016,50227,-8764
EL,Greece,Energy supplied,Total,2017,56716.215,-6127
EL,Greece,Total net production,Total,2017,50589.215,-6127
EL,Greece,Energy supplied,Total,2018,57199.339,-6490.39
EL,Greece,Total net production,Total,2018,50708.949,-6490.39
ES,Spain,Energy supplied,Total,2016,267192,-2848
ES,Spain,Total net production,Total,2016,264344,-2848
ES,Spain,Energy supplied,Total,2017,270412,-5494
ES,Spain,Total net production,Total,2017,264918,-5494
ES,Spain,Energy supplied,Total,2018,268975.67,-7904.479
ES,Spain,Total net production,Total,2018,261071.191,-7904.479
FI,Finland,Energy supplied,Total,2016,85151,-18951
FI,Finland,Total net production,Total,2016,66200,-18951
FI,Finland,Energy supplied,Total,2017,85463,-20425
FI,Finland,Total net production,Total,2017,65038,-20425
FI,Finland,Energy supplied,Total,2018,87360.674,-19937
FI,Finland,Total net production,Total,2018,67423.674,-19937
FR,France,Energy supplied,Total,2016,492543.369,48224.585
FR,France,Total net production,Total,2016,540767.954,48224.585
FR,France,Energy supplied,Total,2017,490823.998,47218.325
FR,France,Total net production,Total,2017,538042.323,47218.325
FR,France,Energy supplied,Total,2018,481085.616,70600.207
FR,France,Total net production,Total,2018,551685.823,70600.207
GE,Georgia,Energy supplied,Total,2016,11285,80
GE,Georgia,Total net production,Total,2016,11365,80
GE,Georgia,Energy supplied,Total,2017,12127.3,-811.5
GE,Georgia,Total net production,Total,2017,11315.8,-811.5
GE,Georgia,Energy supplied,Total,2018,12853.73,-705.216
GE,Georgia,Total net production,Total,2018,12148.514,-705.216
HR,Croatia,Energy supplied,Total,2016,17521,-5237
HR,Croatia,Total net production,Total,2016,12284,-5237
HR,Croatia,Energy supplied,Total,2017,18190.4,-6667.5
HR,Croatia,Total net production,Total,2017,11522.9,-6667.5
HR,Croatia,Energy supplied,Total,2018,18537.364,-5280.824
HR,Croatia,Total net production,Total,2018,13256.54,-5280.824
HU,Hungary,Energy supplied,Total,2016,42259,-12711
HU,Hungary,Total net production,Total,2016,29548,-12711
HU,Hungary,Energy supplied,Total,2017,43554,-12878
HU,Hungary,Total net production,Total,2017,30676,-12878
HU,Hungary,Energy supplied,Total,2018,44098.104,-14348.225
HU,Hungary,Total net production,Total,2018,29749.879,-14348.225
IE,Ireland,Energy supplied,Total,2016,28445.088,1244.152
IE,Ireland,Total net production,Total,2016,29689.24,1244.152
IE,Ireland,Energy supplied,Total,2017,29009.829,1077.145
IE,Ireland,Total net production,Total,2017,30086.974,1077.145
IE,Ireland,Energy supplied,Total,2018,28707.828,527.058
IE,Ireland,Total net production,Total,2018,29234.886,527.058
IT,Italy,Energy supplied,Total,2016,314261.622,-34559
IT,Italy,Total net production,Total,2016,279702.622,-34559
IT,Italy,Energy supplied,Total,2017,320548.137,-35282.488
IT,Italy,Total net production,Total,2017,285265.649,-35282.488
IT,Italy,Energy supplied,Total,2018,321910,-41676
IT,Italy,Total net production,Total,2018,280234,-41676
